,Type,Year,Age_group,Gender,Total
2664,Professional/Career Problem,2003,30-44,Female,57
509,Death of Dear Person,2003,60+,Male,56
1106,Fall in Social Reputation,2003,45-59,Female,56
2649,Professional/Career Problem,2001,60+,Male,56
2514,Physical Abuse (Rape/Incest Etc.),2012,30-44,Female,56
243,Cancer,2001,15-29,Male,56
1169,Fall in Social Reputation,2009,60+,Male,56
2768,Property Dispute,2001,60+,Female,56
308,Cancer,2007,60+,Female,56
1373,Ideological Causes/Hero Worshipping,2006,15-29,Male,56
1923,Not having Children (Barrenness/Impotency,2002,15-29,Male,56
1394,Ideological Causes/Hero Worshipping,2008,30-44,Female,56
559,Death of Dear Person,2008,60+,Male,56
605,Divorce,2001,30-44,Male,56
2484,Physical Abuse (Rape/Incest Etc.),2009,30-44,Female,55
1652,Illness (Aids/STD),2010,15-29,Female,55
2742,Professional/Career Problem,2011,15-29,Female,55
1837,Love Affairs,2004,45-59,Male,55
2354,Paralysis,2008,30-44,Female,55
1673,Illness (Aids/STD),2012,15-29,Male,55
2288,Paralysis,2001,60+,Female,55
1897,Love Affairs,2010,45-59,Male,55
1074,Failure in Examination,2012,30-44,Female,55
2704,Professional/Career Problem,2007,30-44,Female,55
2366,Paralysis,2009,45-59,Female,55
1176,Fall in Social Reputation,2010,45-59,Female,55
2712,Professional/Career Problem,2008,15-29,Female,54
273,Cancer,2004,15-29,Male,54
1065,Failure in Examination,2011,30-44,Male,54
914,Drug Abuse/Addiction,2008,30-44,Female,54
1179,Fall in Social Reputation,2010,60+,Male,54
2709,Professional/Career Problem,2007,60+,Male,53
2394,Paralysis,2012,30-44,Female,53
2568,Poverty,2005,60+,Female,53
283,Cancer,2005,15-29,Male,53
2699,Professional/Career Problem,2006,60+,Male,53
2356,Paralysis,2008,45-59,Female,53
2722,Professional/Career Problem,2009,15-29,Female,53
1025,Failure in Examination,2007,30-44,Male,53
1035,Failure in Examination,2008,30-44,Male,53
278,Cancer,2004,60+,Female,53
253,Cancer,2002,15-29,Male,52
1963,Not having Children(Barrenness/Impotency,2005,15-29,Male,52
263,Cancer,2003,15-29,Male,52
2231,Other Prolonged Illness,2008,0-14,Male,52
2744,Professional/Career Problem,2011,30-44,Female,52
2352,Paralysis,2008,15-29,Female,51
2314,Paralysis,2004,30-44,Female,51
2346,Paralysis,2007,45-59,Female,51
1751,Insanity/Mental Illness,2008,0-14,Male,51
2396,Paralysis,2012,45-59,Female,51
1956,Not having Children(Barrenness/Impotency,2004,45-59,Female,51
1957,Not having Children(Barrenness/Impotency,2004,45-59,Male,51
2312,Paralysis,2004,15-29,Female,51
3119,Unemployment,2012,60+,Male,51
715,Divorce,2012,30-44,Male,51
2714,Professional/Career Problem,2008,30-44,Female,51
1156,Fall in Social Reputation,2008,45-59,Female,51
1397,Ideological Causes/Hero Worshipping,2008,45-59,Male,51
1196,Fall in Social Reputation,2012,45-59,Female,51
994,Failure in Examination,2004,30-44,Female,51
328,Cancer,2009,60+,Female,50
2017,Not having Children(Barrenness/Impotency,2010,45-59,Male,50
1953,Not having Children(Barrenness/Impotency,2004,15-29,Male,50
1433,Ideological Causes/Hero Worshipping,2012,15-29,Male,50
2344,Paralysis,2007,30-44,Female,50
1606,Illness (Aids/STD),2005,45-59,Female,50
1086,Fall in Social Reputation,2001,45-59,Female,50
974,Failure in Examination,2002,30-44,Female,50
293,Cancer,2006,15-29,Male,50
2284,Paralysis,2001,30-44,Female,50
2917,Suspected/Illicit Relation,2004,45-59,Male,50
2303,Paralysis,2003,15-29,Male,50
3046,Unemployment,2005,45-59,Female,50
2324,Paralysis,2005,30-44,Female,50
683,Divorce,2009,15-29,Male,50
3106,Unemployment,2011,45-59,Female,50
2292,Paralysis,2002,15-29,Female,49
2386,Paralysis,2011,45-59,Female,49
2672,Professional/Career Problem,2004,15-29,Female,49
2846,Property Dispute,2009,45-59,Female,49
1146,Fall in Social Reputation,2007,45-59,Female,49
353,Cancer,2012,15-29,Male,49
693,Divorce,2010,15-29,Male,49
499,Death of Dear Person,2002,60+,Male,49
1917,Love Affairs,2012,45-59,Male,49
1663,Illness (Aids/STD),2011,15-29,Male,49
2896,Suspected/Illicit Relation,2002,45-59,Female,48
539,Death of Dear Person,2006,60+,Male,48
1943,Not having Children(Barrenness/Impotency,2003,15-29,Male,48
1015,Failure in Examination,2006,30-44,Male,48
2384,Paralysis,2011,30-44,Female,48
823,Dowry Dispute,2011,15-29,Male,48
578,Death of Dear Person,2010,60+,Female,48
2483,Physical Abuse (Rape/Incest Etc.),2009,15-29,Male,48
2328,Paralysis,2005,60+,Female,47
1933,Not having Children(Barrenness/Impotency,2001,15-29,Male,47
2956,Suspected/Illicit Relation,2008,45-59,Female,47
348,Cancer,2011,60+,Female,47
954,Drug Abuse/Addiction,2012,30-44,Female,47
1907,Love Affairs,2011,45-59,Male,47
2302,Paralysis,2003,15-29,Female,47
1579,Illness (Aids/STD),2002,60+,Male,47
745,Dowry Dispute,2003,30-44,Male,47
2378,Paralysis,2010,60+,Female,47
746,Dowry Dispute,2003,45-59,Female,47
566,Death of Dear Person,2009,45-59,Female,47
2013,Not having Children(Barrenness/Impotency,2010,15-29,Male,47
2282,Paralysis,2001,15-29,Female,47
1967,Not having Children(Barrenness/Impotency,2005,45-59,Male,47
2463,Physical Abuse (Rape/Incest Etc.),2007,15-29,Male,47
2475,Physical Abuse (Rape/Incest Etc.),2008,30-44,Male,47
695,Divorce,2010,30-44,Male,46
589,Death of Dear Person,2011,60+,Male,46
2036,Not having Children(Barrenness/Impotency,2012,45-59,Female,46
2752,Professional/Career Problem,2012,15-29,Female,46
796,Dowry Dispute,2008,45-59,Female,46
1383,Ideological Causes/Hero Worshipping,2007,15-29,Male,45
1731,Insanity/Mental Illness,2006,0-14,Male,45
1365,Ideological Causes/Hero Worshipping,2005,30-44,Male,45
1973,Not having Children(Barrenness/Impotency,2006,15-29,Male,45
862,Drug Abuse/Addiction,2003,15-29,Female,45
2336,Paralysis,2006,45-59,Female,45
1977,Not having Children(Barrenness/Impotency,2006,45-59,Male,45
2503,Physical Abuse (Rape/Incest Etc.),2011,15-29,Male,45
2364,Paralysis,2009,30-44,Female,45
1690,Insanity/Mental Illness,2002,0-14,Female,45
2026,Not having Children(Barrenness/Impotency,2011,45-59,Female,45
806,Dowry Dispute,2009,45-59,Female,44
2464,Physical Abuse (Rape/Incest Etc.),2007,30-44,Female,44
2322,Paralysis,2005,15-29,Female,44
2016,Not having Children(Barrenness/Impotency,2010,45-59,Female,44
1149,Fall in Social Reputation,2007,60+,Male,44
332,Cancer,2010,15-29,Female,44
3116,Unemployment,2012,45-59,Female,44
1679,Illness (Aids/STD),2012,60+,Male,44
258,Cancer,2002,60+,Female,44
1075,Failure in Examination,2012,30-44,Male,44
108,Bankruptcy or Sudden change in Economic,2012,60+,Female,44
816,Dowry Dispute,2010,45-59,Female,43
284,Cancer,2005,30-44,Female,43
262,Cancer,2003,15-29,Female,43
2868,Property Dispute,2011,60+,Female,43
984,Failure in Examination,2003,30-44,Female,43
2759,Professional/Career Problem,2012,60+,Male,43
1004,Failure in Examination,2005,30-44,Female,43
333,Cancer,2010,15-29,Male,43
344,Cancer,2011,30-44,Female,43
2403,Physical Abuse (Rape/Incest Etc.),2001,15-29,Male,43
786,Dowry Dispute,2007,45-59,Female,43
1760,Insanity/Mental Illness,2009,0-14,Female,43
2027,Not having Children(Barrenness/Impotency,2011,45-59,Male,43
1680,Insanity/Mental Illness,2001,0-14,Female,43
1847,Love Affairs,2005,45-59,Male,43
1887,Love Affairs,2009,45-59,Male,43
2338,Paralysis,2006,60+,Female,43
2006,Not having Children(Barrenness/Impotency,2009,45-59,Female,43
942,Drug Abuse/Addiction,2011,15-29,Female,43
1807,Love Affairs,2001,45-59,Male,43
1996,Not having Children(Barrenness/Impotency,2008,45-59,Female,43
1867,Love Affairs,2007,45-59,Male,42
2966,Suspected/Illicit Relation,2009,45-59,Female,42
677,Divorce,2008,45-59,Male,42
1983,Not having Children(Barrenness/Impotency,2007,15-29,Male,42
2692,Professional/Career Problem,2006,15-29,Female,42
1947,Not having Children(Barrenness/Impotency,2003,45-59,Male,42
1367,Ideological Causes/Hero Worshipping,2005,45-59,Male,42
1976,Not having Children(Barrenness/Impotency,2006,45-59,Female,42
1669,Illness (Aids/STD),2011,60+,Male,42
1850,Love Affairs,2006,0-14,Female,42
1701,Insanity/Mental Illness,2003,0-14,Male,42
2348,Paralysis,2007,60+,Female,42
2734,Professional/Career Problem,2010,30-44,Female,41
2427,Physical Abuse (Rape/Incest Etc.),2003,45-59,Male,41
2433,Physical Abuse (Rape/Incest Etc.),2004,15-29,Male,41
1987,Not having Children(Barrenness/Impotency,2007,45-59,Male,41
2316,Paralysis,2004,45-59,Female,41
2333,Paralysis,2006,15-29,Male,41
1997,Not having Children(Barrenness/Impotency,2008,45-59,Male,41
549,Death of Dear Person,2007,60+,Male,41
1342,Ideological Causes/Hero Worshipping,2003,15-29,Female,41
2598,Poverty,2008,60+,Female,41
1681,Insanity/Mental Illness,2001,0-14,Male,41
248,Cancer,2001,60+,Female,41
1484,Illegitimate Pregnancy,2005,30-44,Female,41
2304,Paralysis,2003,30-44,Female,41
2374,Paralysis,2010,30-44,Female,41
1916,Love Affairs,2012,45-59,Female,40
1534,Illegitimate Pregnancy,2010,30-44,Female,40
598,Death of Dear Person,2012,60+,Female,40
1720,Insanity/Mental Illness,2005,0-14,Female,40
1362,Ideological Causes/Hero Worshipping,2005,15-29,Female,40
2538,Poverty,2002,60+,Female,40
1109,Fall in Social Reputation,2003,60+,Male,40
852,Drug Abuse/Addiction,2002,15-29,Female,40
2976,Suspected/Illicit Relation,2010,45-59,Female,40
2037,Not having Children(Barrenness/Impotency,2012,45-59,Male,40
1646,Illness (Aids/STD),2009,45-59,Female,40
944,Drug Abuse/Addiction,2011,30-44,Female,40
1347,Ideological Causes/Hero Worshipping,2003,45-59,Male,40
2528,Poverty,2001,60+,Female,40
2358,Paralysis,2008,60+,Female,40
2003,Not having Children(Barrenness/Impotency,2009,15-29,Male,40
1589,Illness (Aids/STD),2003,60+,Male,40
1619,Illness (Aids/STD),2006,60+,Male,40
2642,Professional/Career Problem,2001,15-29,Female,40
1691,Insanity/Mental Illness,2002,0-14,Male,39
645,Divorce,2005,30-44,Male,39
2926,Suspected/Illicit Relation,2005,45-59,Female,39
2435,Physical Abuse (Rape/Incest Etc.),2004,30-44,Male,39
736,Dowry Dispute,2002,45-59,Female,39
2465,Physical Abuse (Rape/Incest Etc.),2007,30-44,Male,39
1432,Ideological Causes/Hero Worshipping,2012,15-29,Female,39
2455,Physical Abuse (Rape/Incest Etc.),2006,30-44,Male,39
3029,Unemployment,2003,60+,Male,39
252,Cancer,2002,15-29,Female,39
2372,Paralysis,2010,15-29,Female,39
2294,Paralysis,2002,30-44,Female,39
1119,Fall in Social Reputation,2004,60+,Male,39
1544,Illegitimate Pregnancy,2011,30-44,Female,39
1524,Illegitimate Pregnancy,2009,30-44,Female,39
1877,Love Affairs,2008,45-59,Male,39
3099,Unemployment,2010,60+,Male,39
766,Dowry Dispute,2005,45-59,Female,39
2916,Suspected/Illicit Relation,2004,45-59,Female,39
2679,Professional/Career Problem,2004,60+,Male,38
657,Divorce,2006,45-59,Male,38
1674,Illness (Aids/STD),2012,30-44,Female,38
2618,Poverty,2010,60+,Female,38
1099,Fall in Social Reputation,2002,60+,Male,38
318,Cancer,2008,60+,Female,38
713,Divorce,2012,15-29,Male,38
1790,Insanity/Mental Illness,2012,0-14,Female,38
1374,Ideological Causes/Hero Worshipping,2006,30-44,Female,38
872,Drug Abuse/Addiction,2004,15-29,Female,37
1096,Fall in Social Reputation,2002,45-59,Female,37
815,Dowry Dispute,2010,30-44,Male,37
924,Drug Abuse/Addiction,2009,30-44,Female,37
1741,Insanity/Mental Illness,2007,0-14,Male,37
687,Divorce,2009,45-59,Male,37
2493,Physical Abuse (Rape/Incest Etc.),2010,15-29,Male,37
1632,Illness (Aids/STD),2008,15-29,Female,37
3086,Unemployment,2009,45-59,Female,37
167,Cancellation/Non-Settlement of Marriage,2005,45-59,Male,37
615,Divorce,2002,30-44,Male,37
1841,Love Affairs,2005,0-14,Male,37
298,Cancer,2006,60+,Female,37
2732,Professional/Career Problem,2010,15-29,Female,37
338,Cancer,2010,60+,Female,37
1891,Love Affairs,2010,0-14,Male,37
1666,Illness (Aids/STD),2011,45-59,Female,36
946,Drug Abuse/Addiction,2011,45-59,Female,36
2318,Paralysis,2004,60+,Female,36
1857,Love Affairs,2006,45-59,Male,36
358,Cancer,2012,60+,Female,36
894,Drug Abuse/Addiction,2006,30-44,Female,36
2388,Paralysis,2011,60+,Female,35
2334,Paralysis,2006,30-44,Female,35
1817,Love Affairs,2002,45-59,Male,35
147,Cancellation/Non-Settlement of Marriage,2003,45-59,Male,35
2298,Paralysis,2002,60+,Female,35
8,Bankruptcy or Sudden change in Economic,2001,60+,Female,35
633,Divorce,2004,15-29,Male,35
952,Drug Abuse/Addiction,2012,15-29,Female,35
3016,Unemployment,2002,45-59,Female,35
1199,Fall in Social Reputation,2012,60+,Male,35
2706,Professional/Career Problem,2007,45-59,Female,35
2986,Suspected/Illicit Relation,2011,45-59,Female,34
874,Drug Abuse/Addiction,2004,30-44,Female,34
2906,Suspected/Illicit Relation,2003,45-59,Female,34
964,Failure in Examination,2001,30-44,Female,34
2644,Professional/Career Problem,2001,30-44,Female,34
1826,Love Affairs,2003,45-59,Female,34
2332,Paralysis,2006,15-29,Female,34
2749,Professional/Career Problem,2011,60+,Male,34
1599,Illness (Aids/STD),2004,60+,Male,34
1781,Insanity/Mental Illness,2011,0-14,Male,34
2405,Physical Abuse (Rape/Incest Etc.),2001,30-44,Male,34
1676,Illness (Aids/STD),2012,45-59,Female,34
1672,Illness (Aids/STD),2012,15-29,Female,34
1881,Love Affairs,2009,0-14,Male,34
1608,Illness (Aids/STD),2005,60+,Female,34
1088,Fall in Social Reputation,2001,60+,Female,34
2588,Poverty,2007,60+,Female,33
813,Dowry Dispute,2010,15-29,Male,33
805,Dowry Dispute,2009,30-44,Male,33
1044,Failure in Examination,2009,30-44,Female,33
932,Drug Abuse/Addiction,2010,15-29,Female,33
956,Drug Abuse/Addiction,2012,45-59,Female,33
1721,Insanity/Mental Illness,2005,0-14,Male,33
1322,Ideological Causes/Hero Worshipping,2001,15-29,Female,33
747,Dowry Dispute,2003,45-59,Male,33
488,Death of Dear Person,2001,60+,Female,33
2746,Professional/Career Problem,2011,45-59,Female,33
1504,Illegitimate Pregnancy,2007,30-44,Female,33
842,Drug Abuse/Addiction,2001,15-29,Female,33
1116,Fall in Social Reputation,2004,45-59,Female,32
656,Divorce,2006,45-59,Female,32
2383,Paralysis,2011,15-29,Male,32
2467,Physical Abuse (Rape/Incest Etc.),2007,45-59,Male,32
2373,Paralysis,2010,15-29,Male,32
2473,Physical Abuse (Rape/Incest Etc.),2008,15-29,Male,32
2033,Not having Children(Barrenness/Impotency,2012,15-29,Male,32
588,Death of Dear Person,2011,60+,Female,32
2996,Suspected/Illicit Relation,2012,45-59,Female,32
773,Dowry Dispute,2006,15-29,Male,32
902,Drug Abuse/Addiction,2007,15-29,Female,32
756,Dowry Dispute,2004,45-59,Female,32
2716,Professional/Career Problem,2008,45-59,Female,32
313,Cancer,2008,15-29,Male,32
2754,Professional/Career Problem,2012,30-44,Female,32
1387,Ideological Causes/Hero Worshipping,2007,45-59,Male,32
934,Drug Abuse/Addiction,2010,30-44,Female,32
1993,Not having Children(Barrenness/Impotency,2008,15-29,Male,31
1586,Illness (Aids/STD),2003,45-59,Female,31
322,Cancer,2009,15-29,Female,31
686,Divorce,2009,45-59,Female,31
3009,Unemployment,2001,60+,Male,31
2382,Paralysis,2011,15-29,Female,31
2684,Professional/Career Problem,2005,30-44,Female,31
2505,Physical Abuse (Rape/Incest Etc.),2011,30-44,Male,31
793,Dowry Dispute,2008,15-29,Male,31
2676,Professional/Career Problem,2004,45-59,Female,31
2778,Property Dispute,2002,60+,Female,31
1836,Love Affairs,2004,45-59,Female,31
2308,Paralysis,2003,60+,Female,31
912,Drug Abuse/Addiction,2008,15-29,Female,31
518,Death of Dear Person,2004,60+,Female,31
343,Cancer,2011,15-29,Male,31
2417,Physical Abuse (Rape/Incest Etc.),2002,45-59,Male,30
18,Bankruptcy or Sudden change in Economic,2003,60+,Female,30
854,Drug Abuse/Addiction,2002,30-44,Female,30
2798,Property Dispute,2004,60+,Female,30
2398,Paralysis,2012,60+,Female,30
2946,Suspected/Illicit Relation,2007,45-59,Female,30
882,Drug Abuse/Addiction,2005,15-29,Female,30
2362,Paralysis,2009,15-29,Female,30
2313,Paralysis,2004,15-29,Male,30
667,Divorce,2007,45-59,Male,30
916,Drug Abuse/Addiction,2008,45-59,Female,30
892,Drug Abuse/Addiction,2006,15-29,Female,30
2659,Professional/Career Problem,2002,60+,Male,30
2696,Professional/Career Problem,2006,45-59,Female,30
2669,Professional/Career Problem,2003,60+,Male,30
613,Divorce,2002,15-29,Male,29
1128,Fall in Social Reputation,2005,60+,Female,29
922,Drug Abuse/Addiction,2009,15-29,Female,29
498,Death of Dear Person,2002,60+,Female,29
864,Drug Abuse/Addiction,2003,30-44,Female,29
2858,Property Dispute,2010,60+,Female,29
226,Cancellation/Non-Settlement of Marriage,2011,45-59,Female,29
1189,Fall in Social Reputation,2011,60+,Male,29
803,Dowry Dispute,2009,15-29,Male,29
647,Divorce,2005,45-59,Male,29
653,Divorce,2006,15-29,Male,29
1566,Illness (Aids/STD),2001,45-59,Female,29
1363,Ideological Causes/Hero Worshipping,2005,15-29,Male,29
1377,Ideological Causes/Hero Worshipping,2006,45-59,Male,29
1791,Insanity/Mental Illness,2012,0-14,Male,29
242,Cancer,2001,15-29,Female,29
1064,Failure in Examination,2011,30-44,Female,29
1821,Love Affairs,2003,0-14,Male,28
1054,Failure in Examination,2010,30-44,Female,28
1656,Illness (Aids/STD),2010,45-59,Female,28
1616,Illness (Aids/STD),2006,45-59,Female,28
3056,Unemployment,2006,45-59,Female,28
272,Cancer,2004,15-29,Female,28
3089,Unemployment,2009,60+,Male,28
2426,Physical Abuse (Rape/Incest Etc.),2003,45-59,Female,28
607,Divorce,2001,45-59,Male,28
237,Cancellation/Non-Settlement of Marriage,2012,45-59,Male,28
197,Cancellation/Non-Settlement of Marriage,2008,45-59,Male,28
268,Cancer,2003,60+,Female,28
352,Cancer,2012,15-29,Female,28
904,Drug Abuse/Addiction,2007,30-44,Female,28
1662,Illness (Aids/STD),2011,15-29,Female,28
884,Drug Abuse/Addiction,2005,30-44,Female,28
2515,Physical Abuse (Rape/Incest Etc.),2012,30-44,Male,27
1876,Love Affairs,2008,45-59,Female,27
508,Death of Dear Person,2003,60+,Female,27
1413,Ideological Causes/Hero Worshipping,2010,15-29,Male,27
2393,Paralysis,2012,15-29,Male,27
2739,Professional/Career Problem,2010,60+,Male,27
2788,Property Dispute,2003,60+,Female,27
1806,Love Affairs,2001,45-59,Female,27
775,Dowry Dispute,2006,30-44,Male,27
936,Drug Abuse/Addiction,2010,45-59,Female,27
48,Bankruptcy or Sudden change in Economic,2006,60+,Female,27
1659,Illness (Aids/STD),2010,60+,Male,27
2343,Paralysis,2007,15-29,Male,27
753,Dowry Dispute,2004,15-29,Male,27
2682,Professional/Career Problem,2005,15-29,Female,27
2580,Poverty,2007,0-14,Female,27
1384,Ideological Causes/Hero Worshipping,2007,30-44,Female,27
1412,Ideological Causes/Hero Worshipping,2010,15-29,Female,27
637,Divorce,2004,45-59,Male,26
616,Divorce,2002,45-59,Female,26
603,Divorce,2001,15-29,Male,26
2726,Professional/Career Problem,2009,45-59,Female,26
548,Death of Dear Person,2007,60+,Female,26
1911,Love Affairs,2012,0-14,Male,26
1801,Love Affairs,2001,0-14,Male,26
723,Dowry Dispute,2001,15-29,Male,26
717,Divorce,2012,45-59,Male,26
2444,Physical Abuse (Rape/Incest Etc.),2005,30-44,Female,26
2445,Physical Abuse (Rape/Incest Etc.),2005,30-44,Male,26
2828,Property Dispute,2007,60+,Female,26
136,Cancellation/Non-Settlement of Marriage,2002,45-59,Female,26
1638,Illness (Aids/STD),2008,60+,Female,26
1435,Ideological Causes/Hero Worshipping,2012,30-44,Male,26
676,Divorce,2008,45-59,Female,26
2443,Physical Abuse (Rape/Incest Etc.),2005,15-29,Male,25
3039,Unemployment,2004,60+,Male,25
2495,Physical Abuse (Rape/Incest Etc.),2010,30-44,Male,25
88,Bankruptcy or Sudden change in Economic,2010,60+,Female,25
2601,Poverty,2009,0-14,Male,25
227,Cancellation/Non-Settlement of Marriage,2011,45-59,Male,25
1937,Not having Children(Barrenness/Impotency,2001,45-59,Male,25
696,Divorce,2010,45-59,Female,25
2628,Poverty,2011,60+,Female,25
1034,Failure in Examination,2008,30-44,Female,25
2838,Property Dispute,2008,60+,Female,25
538,Death of Dear Person,2006,60+,Female,25
38,Bankruptcy or Sudden change in Economic,2005,60+,Female,25
2342,Paralysis,2007,15-29,Female,25
292,Cancer,2006,15-29,Female,25
1596,Illness (Aids/STD),2004,45-59,Female,24
1628,Illness (Aids/STD),2007,60+,Female,24
2392,Paralysis,2012,15-29,Female,24
2646,Professional/Career Problem,2001,45-59,Female,24
1138,Fall in Social Reputation,2006,60+,Female,24
2656,Professional/Career Problem,2002,45-59,Female,24
765,Dowry Dispute,2005,30-44,Male,24
3069,Unemployment,2007,60+,Male,24
207,Cancellation/Non-Settlement of Marriage,2009,45-59,Male,24
3049,Unemployment,2005,60+,Male,24
2638,Poverty,2012,60+,Female,24
3109,Unemployment,2011,60+,Male,24
118,Bankruptcy or Sudden change in Economic Status,2002,60+,Female,24
2920,Suspected/Illicit Relation,2005,0-14,Female,24
2429,Physical Abuse (Rape/Incest Etc.),2003,60+,Male,23
673,Divorce,2008,15-29,Male,23
2485,Physical Abuse (Rape/Incest Etc.),2009,30-44,Male,23
1434,Ideological Causes/Hero Worshipping,2012,30-44,Female,23
1578,Illness (Aids/STD),2002,60+,Female,23
1014,Failure in Examination,2006,30-44,Female,23
1396,Ideological Causes/Hero Worshipping,2008,45-59,Female,23
663,Divorce,2007,15-29,Male,23
726,Dowry Dispute,2001,45-59,Female,23
558,Death of Dear Person,2008,60+,Female,23
2666,Professional/Career Problem,2003,45-59,Female,23
2519,Physical Abuse (Rape/Incest Etc.),2012,60+,Male,23
2453,Physical Abuse (Rape/Incest Etc.),2006,15-29,Male,23
236,Cancellation/Non-Settlement of Marriage,2012,45-59,Female,23
2407,Physical Abuse (Rape/Incest Etc.),2001,45-59,Male,23
643,Divorce,2005,15-29,Male,23
783,Dowry Dispute,2007,15-29,Male,22
606,Divorce,2001,45-59,Female,22
528,Death of Dear Person,2005,60+,Female,22
626,Divorce,2003,45-59,Female,22
2936,Suspected/Illicit Relation,2006,45-59,Female,22
666,Divorce,2007,45-59,Female,22
1831,Love Affairs,2004,0-14,Male,22
1355,Ideological Causes/Hero Worshipping,2004,30-44,Male,22
2570,Poverty,2006,0-14,Female,22
28,Bankruptcy or Sudden change in Economic,2004,60+,Female,22
1443,Illegitimate Pregnancy,2001,15-29,Male,21
137,Cancellation/Non-Settlement of Marriage,2002,45-59,Male,21
1403,Ideological Causes/Hero Worshipping,2009,15-29,Male,21
1576,Illness (Aids/STD),2002,45-59,Female,21
2611,Poverty,2010,0-14,Male,21
2476,Physical Abuse (Rape/Incest Etc.),2008,45-59,Female,21
1816,Love Affairs,2002,45-59,Female,21
568,Death of Dear Person,2009,60+,Female,21
833,Dowry Dispute,2012,15-29,Male,21
776,Dowry Dispute,2006,45-59,Female,21
856,Drug Abuse/Addiction,2002,45-59,Female,21
570,Death of Dear Person,2010,0-14,Female,20
1352,Ideological Causes/Hero Worshipping,2004,15-29,Female,20
2496,Physical Abuse (Rape/Incest Etc.),2010,45-59,Female,20
2457,Physical Abuse (Rape/Incest Etc.),2006,45-59,Male,20
1091,Fall in Social Reputation,2002,0-14,Male,20
1896,Love Affairs,2010,45-59,Female,20
3096,Unemployment,2010,45-59,Female,20
1569,Illness (Aids/STD),2001,60+,Male,20
1678,Illness (Aids/STD),2012,60+,Female,20
1369,Ideological Causes/Hero Worshipping,2005,60+,Male,20
2516,Physical Abuse (Rape/Incest Etc.),2012,45-59,Female,20
1327,Ideological Causes/Hero Worshipping,2001,45-59,Male,20
3008,Unemployment,2001,60+,Female,20
302,Cancer,2007,15-29,Female,19
1333,Ideological Causes/Hero Worshipping,2002,15-29,Male,19
2818,Property Dispute,2006,60+,Female,19
2486,Physical Abuse (Rape/Incest Etc.),2009,45-59,Female,19
3019,Unemployment,2002,60+,Male,19
2466,Physical Abuse (Rape/Incest Etc.),2007,45-59,Female,19
795,Dowry Dispute,2008,30-44,Male,19
1024,Failure in Examination,2007,30-44,Female,19
217,Cancellation/Non-Settlement of Marriage,2010,45-59,Male,19
2416,Physical Abuse (Rape/Incest Etc.),2002,45-59,Female,19
312,Cancer,2008,15-29,Female,18
844,Drug Abuse/Addiction,2001,30-44,Female,18
827,Dowry Dispute,2011,45-59,Male,18
1323,Ideological Causes/Hero Worshipping,2001,15-29,Male,18
1554,Illegitimate Pregnancy,2012,30-44,Female,18
627,Divorce,2003,45-59,Male,18
733,Dowry Dispute,2002,15-29,Male,18
926,Drug Abuse/Addiction,2009,45-59,Female,18
1856,Love Affairs,2006,45-59,Female,18
2410,Physical Abuse (Rape/Incest Etc.),2002,0-14,Female,18
157,Cancellation/Non-Settlement of Marriage,2004,45-59,Male,18
2517,Physical Abuse (Rape/Incest Etc.),2012,45-59,Male,18
98,Bankruptcy or Sudden change in Economic,2011,60+,Female,18
1588,Illness (Aids/STD),2003,60+,Female,18
1851,Love Affairs,2006,0-14,Male,18
1364,Ideological Causes/Hero Worshipping,2005,30-44,Female,18
78,Bankruptcy or Sudden change in Economic,2009,60+,Female,17
282,Cancer,2005,15-29,Female,17
1668,Illness (Aids/STD),2011,60+,Female,17
1871,Love Affairs,2008,0-14,Male,17
1188,Fall in Social Reputation,2011,60+,Female,17
1437,Ideological Causes/Hero Worshipping,2012,45-59,Male,17
1100,Fall in Social Reputation,2003,0-14,Female,17
755,Dowry Dispute,2004,30-44,Male,17
1861,Love Affairs,2007,0-14,Male,17
763,Dowry Dispute,2005,15-29,Male,17
2513,Physical Abuse (Rape/Incest Etc.),2012,15-29,Male,17
2970,Suspected/Illicit Relation,2010,0-14,Female,17
2436,Physical Abuse (Rape/Incest Etc.),2004,45-59,Female,17
1405,Ideological Causes/Hero Worshipping,2009,30-44,Male,17
1658,Illness (Aids/STD),2010,60+,Female,17
1415,Ideological Causes/Hero Worshipping,2010,30-44,Male,17
997,Failure in Examination,2004,45-59,Male,17
216,Cancellation/Non-Settlement of Marriage,2010,45-59,Female,16
127,Cancellation/Non-Settlement of Marriage,2001,45-59,Male,16
2989,Suspected/Illicit Relation,2011,60+,Male,16
2521,Poverty,2001,0-14,Male,16
580,Death of Dear Person,2011,0-14,Female,16
1168,Fall in Social Reputation,2009,60+,Female,16
725,Dowry Dispute,2001,30-44,Male,16
846,Drug Abuse/Addiction,2001,45-59,Female,16
2689,Professional/Career Problem,2005,60+,Male,16
2541,Poverty,2003,0-14,Male,16
146,Cancellation/Non-Settlement of Marriage,2003,45-59,Female,16
2736,Professional/Career Problem,2010,45-59,Female,16
2540,Poverty,2003,0-14,Female,16
2477,Physical Abuse (Rape/Incest Etc.),2008,45-59,Male,16
1098,Fall in Social Reputation,2002,60+,Female,15
2980,Suspected/Illicit Relation,2011,0-14,Female,15
68,Bankruptcy or Sudden change in Economic,2008,60+,Female,15
1047,Failure in Examination,2009,45-59,Male,15
835,Dowry Dispute,2012,30-44,Male,15
743,Dowry Dispute,2003,15-29,Male,15
697,Divorce,2010,45-59,Male,15
